#{"t_start": 1745158256.5223553, "env_id": "None"}
r,l,t
451.424261,1446,5.768687
442.412609,1446,11.653285
547.574095,1446,17.349291
758.709605,1446,23.019624
870.999725,1446,28.649608
604.723257,1446,34.421064
506.231,1446,40.046389
545.323609,1446,45.674937
631.204952,1446,51.439813
678.659597,1446,57.254745
621.080319,1446,63.086396
559.989302,1446,68.913764
614.089313,1446,74.589157
685.519306,1446,80.383177
745.936969,1446,86.054001
522.996851,1446,91.754902
502.458614,1446,97.551785
530.943898,1446,103.427504
665.337427,1446,109.142251
675.913333,1446,115.212053
659.070388,1446,120.82139
567.651711,1446,126.67886
503.360462,1446,132.276029
743.803334,1446,138.074571
720.252779,1446,143.747185
736.781061,1446,149.607571
629.523805,1446,155.323321
605.276132,1446,161.00356
736.313803,1446,166.917344
491.784364,1446,172.741923
448.158747,1446,178.546417
610.419083,1446,184.431021
765.683234,1446,190.201082
678.05467,1446,195.868307
682.1305,1446,201.682847
725.531601,1446,207.885974
660.00907,1446,213.648073
575.619889,1446,219.379649
637.879079,1446,225.159764
668.092534,1446,230.895244
555.291287,1446,236.48056
644.678931,1446,242.147572
616.52773,1446,247.777645
634.576936,1446,253.510141
561.087815,1446,259.380073
506.401116,1446,265.152975
838.642879,1446,270.874009
612.129814,1446,276.562892
560.92038,1446,282.142505
792.204997,1446,287.939369
722.802751,1446,293.619441
436.006452,1446,299.160717
575.149183,1446,304.979423
348.907825,1446,310.766024
435.674795,1446,316.527334
657.055968,1446,322.169336
715.161938,1446,327.921015
755.252027,1446,333.531506
668.390124,1446,339.444153
638.391386,1446,345.156487
696.515027,1446,350.866621
358.269647,1446,356.574736
611.293442,1446,362.189767
572.288079,1446,367.878117
612.668856,1446,373.760292
562.961523,1446,379.446116
743.52222,1446,385.303261
728.709541,1446,391.042833
581.154796,1446,396.634229
636.900093,1446,402.330038
445.077366,1446,408.224345
519.241381,1446,413.912265
456.000987,1446,419.451442
585.170162,1446,425.302231
601.564876,1446,431.11179
484.086213,1446,436.927479
542.966245,1446,442.666991
524.429367,1446,448.551597
868.140084,1446,454.263624
532.053358,1446,459.975823
652.055368,1446,465.664355
500.029872,1446,471.352539
596.478058,1446,477.38701
777.550752,1446,483.237381
548.054537,1446,489.134742
529.220089,1446,495.215001
801.242425,1446,501.040832
473.942714,1446,506.828744
840.31905,1446,512.578822
585.519443,1446,518.245697
562.148542,1446,524.021562
694.355666,1446,529.849807
577.774071,1446,535.521623
487.954882,1446,541.269473
486.805971,1446,547.033589
415.845879,1446,552.783608
563.134733,1446,558.611607
788.850713,1446,564.338931
451.501596,1446,570.013788
613.657044,1446,576.038663
657.056188,1446,581.777017
753.619634,1446,587.633744
764.107956,1446,593.36295
639.241833,1446,599.181721
589.476384,1446,605.082835
722.516567,1446,610.928298
603.514489,1446,616.814075
691.416411,1446,622.760436
457.360304,1446,628.61658
479.956517,1446,634.408493
710.026209,1446,640.100287
443.065452,1446,645.944638
632.990717,1446,651.826514
720.595732,1446,657.660639
586.148618,1446,663.457792
576.355447,1446,669.167611
391.545332,1446,674.884181
576.141941,1446,680.685303
676.669384,1446,686.549908
528.807451,1446,692.419837
568.408271,1446,698.102788
530.687325,1446,703.836957
582.968099,1446,709.443114
760.931556,1446,715.289773
533.65053,1446,721.018847
800.486522,1446,726.689711
631.281208,1446,732.473694
743.95234,1446,738.290143
708.85381,1446,744.100921
536.354222,1446,749.92553
510.519301,1446,755.764376
721.944458,1446,761.603891
523.248206,1446,767.262749
636.712221,1446,772.898527
566.947639,1446,778.620459
560.689734,1446,784.432184
575.764415,1446,789.88239
447.125776,1446,795.571442
433.566673,1446,801.266213
616.176161,1446,807.004781
718.946345,1446,812.993
550.350966,1446,818.646119
717.753728,1446,824.487872
506.385219,1446,830.34625
535.396549,1446,836.425695
613.193709,1446,842.125843
583.256406,1446,847.950518
561.838925,1446,853.829548
437.371027,1446,859.879792
481.571303,1446,865.873366
599.94626,1446,871.727694
641.79671,1446,877.497769
563.467359,1446,883.54307
627.503808,1446,889.306866
614.015002,1446,894.98324
620.965805,1446,900.769892
513.442111,1446,906.6524
595.807885,1446,912.454345
631.202549,1446,918.179611
515.579497,1446,923.93497
510.308091,1446,929.559544
488.050951,1446,935.435092
572.42779,1446,941.067135
556.520361,1446,946.7176
395.747402,1446,952.466794
540.666386,1446,958.441847
498.820535,1446,964.117254
647.759297,1446,969.956191
654.127523,1446,975.701512
610.910871,1446,981.493665
490.989545,1446,987.108461
414.148523,1446,992.821689
