#{"t_start": 1745153088.2209709, "env_id": "None"}
r,l,t
444.441187,1441,5.977195
784.697802,1441,15.840209
504.963812,1441,25.824553
551.231099,1441,31.775232
594.649715,1441,41.813842
404.379563,1441,51.826993
555.870291,1441,57.790433
628.117494,1441,67.786239
685.455327,1441,77.73656
808.815805,1441,87.728972
779.928669,1441,93.680613
487.176233,1441,103.485883
465.862307,1441,113.464193
604.189385,1441,119.350839
698.026341,1441,129.430299
676.451735,1441,139.382843
811.448514,1441,145.128973
648.019159,1441,155.286958
567.209653,1441,165.222197
665.785279,1441,175.053178
571.056065,1441,181.144462
579.633069,1441,191.147629
667.053322,1441,201.073328
580.243021,1441,206.798215
816.1166,1441,216.722333
754.786656,1441,226.687388
666.370626,1441,232.594712
536.227972,1441,242.885888
568.742824,1441,252.674946
459.370699,1441,262.407324
622.320439,1441,268.231948
573.5649,1441,278.437115
461.948973,1441,288.543784
660.0694,1441,294.543717
498.276706,1441,304.541636
507.786157,1441,314.482811
502.48699,1441,324.058962
717.807479,1441,330.009372
745.330896,1441,340.082293
574.407485,1441,350.065554
501.711005,1441,355.85814
635.719194,1441,365.794536
511.16695,1441,375.771819
444.454062,1441,381.354182
520.837241,1441,391.435006
520.538377,1441,401.497647
670.195042,1441,411.393685
587.596076,1441,417.234158
417.565539,1441,427.279469
612.300685,1441,437.123138
745.905585,1441,442.867644
689.180214,1441,452.977966
662.171412,1441,463.239362
540.185659,1441,469.063449
831.044874,1441,478.852961
514.270394,1441,488.972865
542.78242,1441,498.622912
452.783517,1441,504.720087
603.733484,1441,514.498873
529.350858,1441,524.360922
631.057717,1441,530.344913
501.624128,1441,540.273726
756.537727,1441,550.229842
673.96276,1441,560.473723
559.964564,1441,566.429965
591.332575,1441,576.11539
752.377876,1441,585.948107
465.499759,1441,592.059349
493.730979,1441,601.851842
676.340133,1441,611.865721
655.922709,1441,617.961553
579.66079,1441,627.936888
747.614193,1441,637.727946
687.254058,1441,647.654341
650.705907,1441,653.831872
564.04807,1441,663.885694
526.459598,1441,673.820217
498.384205,1441,679.642604
504.922338,1441,689.640616
595.13816,1441,699.752398
592.055142,1441,705.919978
647.537885,1441,715.718509
564.092745,1441,725.7183
832.077922,1441,735.68608
625.51906,1441,741.423317
697.474459,1441,751.223597
585.174849,1441,761.126713
420.515431,1441,767.201718
663.83862,1441,777.327787
700.896971,1441,787.560493
506.423344,1441,797.829206
521.914222,1441,803.844803
535.485577,1441,813.98151
839.283122,1441,823.864143
561.194693,1441,829.836014
675.59456,1441,839.666616
484.675688,1441,849.676595
704.612699,1441,855.769273
483.493524,1441,865.777225
520.352203,1441,875.935284
562.595376,1441,886.231114
515.058513,1441,892.268533
522.746001,1441,902.398646
498.60757,1441,912.515793
548.799016,1441,918.801385
551.143799,1441,928.504567
725.957649,1441,938.904475
761.665882,1441,945.323411
534.69011,1441,955.440982
877.76443,1441,965.578751
570.367481,1441,975.69489
606.674632,1441,982.133792
522.771657,1441,992.109569
604.826252,1441,1002.090953
555.162056,1441,1008.321465
542.891681,1441,1018.076891
697.959918,1441,1028.043767
717.422752,1441,1038.128662
608.477778,1441,1044.155916
640.217008,1441,1054.182802
731.100371,1441,1063.981244
740.146014,1441,1069.958753
690.956132,1441,1080.151393
779.933534,1441,1090.071549
759.388207,1441,1096.22012
809.321615,1441,1106.21096
721.984557,1441,1116.233514
792.236356,1441,1126.426785
475.972919,1441,1132.323292
490.469139,1441,1142.558767
367.87985,1441,1152.384923
431.18216,1441,1158.511714
591.441046,1441,1168.696254
592.315361,1441,1178.776982
660.808767,1441,1184.49406
671.97895,1441,1194.60935
621.18456,1441,1204.762391
569.049999,1441,1214.737835
569.337218,1441,1220.540275
589.367763,1441,1230.748631
547.248908,1441,1240.799654
694.063708,1441,1246.570311
536.636579,1441,1256.741682
724.757202,1441,1266.739997
640.988234,1441,1276.21565
673.115884,1441,1282.558566
604.67505,1441,1292.978293
575.15971,1441,1302.729557
644.74218,1441,1308.699097
611.608747,1441,1318.909923
601.020793,1441,1328.719734
802.951911,1441,1334.867217
639.007071,1441,1344.945072
692.079991,1441,1354.692156
570.534856,1441,1364.585484
594.554524,1441,1370.708584
717.200001,1441,1380.767343
514.176436,1441,1390.986747
664.989165,1441,1397.142244
683.365709,1441,1407.009402
726.589183,1441,1417.056793
581.765667,1441,1423.42759
790.500654,1441,1433.252876
491.554058,1441,1443.001909
587.567472,1441,1453.323612
656.859508,1441,1459.464813
607.137831,1441,1469.168968
605.304317,1441,1479.292219
703.925176,1441,1485.626922
846.055721,1441,1495.347285
604.036729,1441,1505.362427
709.046875,1441,1515.662308
803.31491,1441,1521.873791
691.770444,1441,1531.95126
