#{"t_start": 1745181378.1558666, "env_id": "None"}
r,l,t
706.007496,1446,31.239365
585.540119,1446,79.152862
820.997408,1446,148.163531
725.313901,1446,221.864254
626.737172,1446,282.541952
433.725304,1446,345.714662
689.64826,1446,444.631045
501.806276,1446,541.196077
676.125788,1446,640.02979
609.348372,1446,695.468125
475.316617,1446,749.294963
792.826969,1446,805.392718
758.141759,1446,924.763712
596.166103,1446,1031.250723
542.382289,1446,1138.417487
467.037712,1446,1236.848092
611.851196,1446,1327.811107
784.980264,1446,1406.514329
689.820447,1446,1505.847574
592.054419,1446,1603.005891
594.341945,1446,1712.741603
533.659496,1446,1830.043801
670.895963,1446,1906.156973
767.447283,1446,2013.700108
762.795148,1446,2112.50695
676.958861,1446,2189.515317
614.787891,1446,2273.031069
506.016168,1446,2388.823706
554.029261,1446,2451.414007
580.378211,1446,2525.548931
596.139792,1446,2593.682033
621.042021,1446,2657.708175
617.027659,1446,2731.164762
667.168621,1446,2799.535953
615.500198,1446,2856.503029
715.813324,1446,2921.292156
695.146469,1446,2975.290341
701.807694,1446,3015.090374
621.11939,1446,3107.582
591.512288,1446,3174.872598
637.180287,1446,3238.500708
666.31878,1446,3316.378105
760.976771,1446,3390.776029
683.860021,1446,3476.486144
617.038618,1446,3555.192256
668.53463,1446,3626.312143
715.724998,1446,3709.740613
772.080408,1446,3792.451668
690.839499,1446,3872.055025
848.400795,1446,3953.77652
776.722943,1446,4036.139384
685.986015,1446,4097.056114
864.64899,1446,4174.585807
516.809844,1446,4252.875386
679.376286,1446,4329.65469
615.744982,1446,4406.798917
806.326167,1446,4472.261375
714.9804,1446,4550.380828
753.458313,1446,4624.805722
499.222368,1446,4695.926526
631.382081,1446,4764.977676
608.404208,1446,4833.552545
626.55652,1446,4891.203624
626.685751,1446,4962.218779
545.150754,1446,5038.550433
679.491258,1446,5110.09722
737.725554,1446,5189.418055
538.922468,1446,5267.74569
759.41367,1446,5333.996646
549.776859,1446,5402.031706
589.401038,1446,5476.924191
639.461264,1446,5553.966859
704.496546,1446,5636.621399
588.038351,1446,5707.693191
608.8176,1446,5785.614146
646.340993,1446,5861.410858
694.419388,1446,5925.462533
661.264008,1446,6002.214581
747.882476,1446,6079.934273
551.831628,1446,6143.972547
739.756647,1446,6215.619595
705.966435,1446,6287.180833
693.488347,1446,6369.871442
571.39744,1446,6439.961484
728.158417,1446,6507.306064
755.816331,1446,6563.038858
719.011656,1446,6639.470267
548.917431,1446,6702.372504
967.148604,1446,6772.935387
570.798812,1446,6846.894278
838.481107,1446,6920.527818
670.053865,1446,6981.42683
732.117917,1446,7050.796539
750.771766,1446,7123.211765
549.426871,1446,7195.045609
786.945355,1446,7271.965037
871.797032,1446,7325.76561
739.114327,1446,7400.707147
823.144546,1446,7481.959129
523.281352,1446,7557.700677
691.233791,1446,7629.348181
629.845998,1446,7706.314477
842.249322,1446,7768.546251
722.075504,1446,7844.169149
791.292798,1446,7906.62239
836.890539,1446,7970.263148
666.516263,1446,8042.562266
778.638654,1446,8118.518058
831.13331,1446,8179.721922
853.575962,1446,8250.407309
541.503281,1446,8319.131189
479.92127,1446,8385.990766
727.611909,1446,8444.545082
700.069285,1446,8519.309595
632.133896,1446,8594.612526
890.563696,1446,8670.158756
655.263098,1446,8755.861289
574.305122,1446,8849.104279
840.484691,1446,8932.01326
661.04894,1446,8999.216029
510.450845,1446,9074.167822
487.66596,1446,9150.506429
734.185349,1446,9225.613037
612.369107,1446,9303.773942
688.555722,1446,9380.908499
753.437889,1446,9437.716623
571.111151,1446,9508.020531
409.450077,1446,9581.929992
741.56022,1446,9654.567989
699.110743,1446,9726.011042
737.665687,1446,9785.019504
509.937171,1446,9858.120884
686.759877,1446,9943.945812
801.211019,1446,10017.108866
694.00802,1446,10093.829271
936.246631,1446,10172.144129
763.435842,1446,10244.266667
720.138287,1446,10326.832445
501.826929,1446,10407.909728
798.197002,1446,10495.522433
602.598928,1446,10590.599231
803.7566,1446,10673.414935
832.924723,1446,10742.763408
591.117952,1446,10822.00361
567.02295,1446,10897.747266
852.129879,1446,10992.896622
488.7845,1446,11078.672727
767.071449,1446,11152.036316
774.793115,1446,11237.104199
772.123783,1446,11289.372222
893.57873,1446,11340.626045
796.925841,1446,11396.846443
806.958782,1446,11483.91206
721.753557,1446,11555.590725
732.628435,1446,11639.202825
641.925739,1446,11731.867579
699.999094,1446,11812.596006
531.127131,1446,11875.91145
748.628257,1446,11946.540573
773.463602,1446,12005.621352
720.527972,1446,12091.566472
739.652804,1446,12179.470245
548.914723,1446,12263.931845
764.007028,1446,12340.810167
655.70746,1446,12398.219294
846.992337,1446,12475.995171
646.427954,1446,12557.791469
748.480487,1446,12638.201109
512.257219,1446,12719.328311
747.84912,1446,12801.891193
689.982754,1446,12857.522544
625.620022,1446,13054.690492
715.586601,1446,13387.315702
