#{"t_start": 1745266848.8867235, "env_id": "None"}
r,l,t
613.581869,1451,53.415038
747.023638,1451,110.606285
747.023638,1451,168.027208
747.023638,1451,228.959219
747.023638,1451,290.634797
747.023638,1451,351.442047
747.023638,1451,412.757414
747.023638,1451,473.193458
747.023638,1451,533.566185
747.023638,1451,594.698329
747.023638,1451,657.387064
747.023638,1451,718.873139
747.023638,1451,782.029145
747.023638,1451,846.590117
747.023638,1451,907.934473
747.023638,1451,967.315484
747.023638,1451,1026.591653
747.023638,1451,1088.752044
747.023638,1451,1148.629474
747.023638,1451,1209.181985
747.023638,1451,1272.85263
747.023638,1451,1334.212415
747.023638,1451,1393.485342
747.023638,1451,1455.872006
747.023638,1451,1519.157416
747.023638,1451,1580.867055
747.023638,1451,1641.865969
