#{"t_start": 1745273817.9199076, "env_id": "None"}
r,l,t
595.193963,1451,36.55617
672.931961,1451,72.604558
672.931961,1451,108.12347
672.931961,1451,144.891459
672.931961,1451,181.605457
672.931961,1451,216.606826
672.931961,1451,254.510823
672.931961,1451,289.812786
672.931961,1451,324.363266
672.931961,1451,362.022966
672.931961,1451,399.741962
672.931961,1451,437.815884
672.931961,1451,475.240539
672.931961,1451,512.432575
672.931961,1451,548.450941
672.931961,1451,584.613961
672.931961,1451,620.599722
672.931961,1451,656.466004
672.931961,1451,693.504658
672.931961,1451,729.172121
672.931961,1451,765.294958
672.931961,1451,795.505904
672.931961,1451,826.937511
672.931961,1451,863.27271
672.931961,1451,899.04573
672.931961,1451,926.663456
672.931961,1451,958.520936
