#{"t_start": 1745280174.9021275, "env_id": "None"}
r,l,t
621.389516,1451,9.360599
782.807299,1451,21.921828
596.337601,1451,34.046622
669.11951,1451,42.841459
544.713294,1451,52.211834
545.950597,1451,62.079053
679.047526,1451,69.713277
485.009192,1451,79.68842
385.142567,1451,91.074396
646.716916,1451,105.480898
747.528892,1451,115.147202
728.175533,1451,127.094491
566.952078,1451,139.722909
728.61867,1451,149.195979
617.996828,1451,160.786529
519.917691,1451,170.687357
788.763629,1451,181.628079
515.808369,1451,188.866778
506.281433,1451,197.473979
607.146417,1451,205.279324
507.180119,1451,211.383016
673.069535,1451,219.214188
466.063256,1451,226.965942
660.497657,1451,235.324353
731.535113,1451,242.945223
638.995207,1451,252.927479
631.886145,1451,263.00335
646.250166,1451,270.93937
686.434488,1451,280.756344
680.222313,1451,290.573722
485.835465,1451,298.052262
491.243929,1451,308.120711
737.612862,1451,317.988691
499.898112,1451,328.09577
737.143018,1451,335.322726
729.086292,1451,344.936824
618.107076,1451,354.429884
463.519048,1451,361.674486
553.27022,1451,370.882763
394.10278,1451,379.941678
695.113048,1451,389.123632
661.100565,1451,396.977624
603.573514,1451,406.831228
637.069888,1451,415.922761
525.737282,1451,424.172519
760.627844,1451,435.420687
763.715233,1451,445.01089
718.354589,1451,454.477973
536.447713,1451,461.978308
537.503747,1451,469.915029
617.333074,1451,476.44309
824.315521,1451,483.761424
645.425845,1451,493.961957
542.392584,1451,502.442859
738.084526,1451,506.857605
709.079113,1451,512.355464
738.914574,1451,517.899642
654.924008,1451,523.439468
638.467022,1451,527.728018
486.674873,1451,534.799314
582.697797,1451,545.033718
602.86535,1451,554.206588
793.551871,1451,564.144389
679.739379,1451,572.109151
600.049033,1451,578.580574
805.076639,1451,583.734184
612.542098,1451,590.216397
670.530604,1451,596.749595
743.680118,1451,601.771097
734.125697,1451,608.241929
582.985169,1451,614.859511
652.646153,1451,621.383333
569.452567,1451,626.638508
705.067905,1451,633.27332
555.179943,1451,639.898566
659.051754,1451,644.862166
521.051951,1451,651.599814
586.420345,1451,659.6941
613.426608,1451,664.776227
565.49003,1451,671.273063
552.038742,1451,677.746113
369.025261,1451,684.459651
450.89802,1451,689.661155
651.775554,1451,696.252901
565.238577,1451,702.684008
566.945101,1451,707.639621
577.47183,1451,716.252985
548.940067,1451,726.30636
497.633668,1451,737.015194
536.446563,1451,744.954017
703.057743,1451,755.056637
730.711661,1451,764.968066
565.3947,1451,772.697487
660.635515,1451,780.742781
679.62729,1451,788.468109
660.18867,1451,796.005862
460.663147,1451,802.243637
564.538276,1451,810.580601
537.210921,1451,819.088677
452.420453,1451,826.355743
687.680646,1451,836.079826
685.146301,1451,847.280318
595.580748,1451,855.775503
623.034262,1451,866.254322
618.672644,1451,877.378026
679.977693,1451,887.925822
532.66267,1451,897.626156
646.203361,1451,908.60303
669.288484,1451,919.537172
558.822944,1451,928.635132
470.785721,1451,939.406533
727.266359,1451,951.080587
547.991422,1451,961.661781
470.900005,1451,970.683783
664.189189,1451,981.882976
752.806323,1451,991.650149
517.231388,1451,998.743547
604.925402,1451,1007.871547
625.254091,1451,1017.004569
432.31884,1451,1025.772432
651.661308,1451,1032.833346
407.65533,1451,1043.143238
655.398397,1451,1063.958628
644.950961,1451,1079.966633
451.711333,1451,1097.97083
694.470956,1451,1114.597672
682.903656,1451,1128.177289
545.83187,1451,1144.086828
623.638894,1451,1160.44297
730.611151,1451,1176.204542
470.307811,1451,1190.191529
582.617378,1451,1205.297498
455.2722,1451,1217.819273
605.808956,1451,1230.321252
682.872295,1451,1248.756324
650.564113,1451,1261.236299
652.692248,1451,1277.023266
891.606581,1451,1289.847763
827.253428,1451,1307.190743
470.219173,1451,1323.106135
623.779908,1451,1335.868181
634.614262,1451,1350.319253
637.275847,1451,1363.633573
572.469053,1451,1378.138196
575.133997,1451,1390.081315
590.474589,1451,1404.207859
630.16555,1451,1417.198973
596.247761,1451,1429.330657
575.431433,1451,1443.771636
618.963269,1451,1459.117347
653.229687,1451,1471.229911
619.454763,1451,1485.034922
588.094853,1451,1497.120581
530.882745,1451,1512.486566
631.83585,1451,1527.713365
579.221824,1451,1542.453686
561.304403,1451,1554.162402
593.433043,1451,1567.719689
624.060379,1451,1583.875475
570.941641,1451,1597.014673
582.969256,1451,1608.253388
561.341132,1451,1616.216132
585.648189,1451,1627.764317
588.288372,1451,1646.921546
563.402767,1451,1662.699172
632.0582,1451,1679.861799
625.203008,1451,1690.821531
584.356367,1451,1705.084982
592.003762,1451,1711.901389
561.103448,1451,1727.23382
584.709946,1451,1744.208524
592.794305,1451,1756.100739
576.140392,1451,1770.441819
