Trading Day,Portfolio Value,Daily Return,Total Profit
0,2997.0075899999997,-0.000997470000000097,-2.992410000000291
1,3012.04759,0.002010434487955839,12.047590000000127
2,2981.9075900000003,-0.0019952043421951524,-18.092409999999745
3,2995.1010899999997,-0.00039027407576190535,-4.898910000000342
4,3034.4010899999994,0.0023120661186862867,34.401089999999385
5,2824.581089999999,-0.009597792945171239,-175.41891000000078
6,2795.1510899999994,-0.009715143117381517,-204.84891000000061
7,2765.6515799999997,-0.009819977214468945,-234.34842000000026
8,2736.0978799999993,-0.009916199847804267,-263.90212000000065
9,2701.460809999999,-0.010190509355283095,-298.5391900000009
10,2691.6930299999995,-0.009592803053314636,-308.30697000000055
11,2681.84372,-0.009098332010407176,-318.15628000000015
12,2698.5679299999993,-0.007918761339049875,-301.43207000000075
13,2693.630469999999,-0.007483825481505088,-306.36953000000085
14,2700.6129799999985,-0.006812088442307729,-299.3870200000015
15,2690.017399999999,-0.006631545299742079,-309.9826000000012
16,2752.3638499999993,-0.0048781032796886056,-247.63615000000073
17,2763.643749999999,-0.004379416484748464,-236.35625000000118
18,2760.780809999999,-0.004203443483873079,-239.21919000000116
19,2781.450809999999,-0.003618920692543686,-218.5491900000011
20,2780.5708099999993,-0.003461656928670182,-219.42919000000074
21,2779.320809999999,-0.0033247428856978635,-220.6791900000012
22,2778.440809999999,-0.0031939551131876078,-221.55919000000085
23,2785.690809999999,-0.002952149601655216,-214.30919000000085
24,2760.8208099999993,-0.0031911743193326785,-239.17919000000074
25,2762.0462199999997,-0.003051365417451573,-237.95378000000028
26,2738.17521,-0.0032584448185863004,-261.8247900000001
27,2758.8452099999995,-0.002872470967965262,-241.1547900000005
28,2779.6052099999997,-0.0025139413635613455,-220.39479000000028
29,2800.27521,-0.002182266390291914,-199.7247900000002
30,2835.975209999999,-0.0017006207991608908,-164.02479000000085
31,2849.675209999999,-0.001496514219232093,-150.32479000000103
32,2855.0552099999995,-0.0013939551686521674,-144.94479000000047
33,2859.4352099999996,-0.0013078352829234705,-140.56479000000036
34,2864.8152099999993,-0.0012167116909539988,-135.1847900000007
35,2870.1052099999993,-0.0011316213262363753,-129.89479000000074
36,2874.4852099999994,-0.0010597916563258932,-125.51479000000063
37,2879.8652099999995,-0.0009826487317197213,-120.13479000000052
