news_id,type,symbol,text,logit,prediction,sentiment_score
0,Summary,FPT,"the stock market session 16/4 witnessed the mixed trading of the duo of stocks and FPT Telecom . FPT shares are under strong selling pressure to reduce the ""white buyer"" floor . Ffox has increased by 4% while FPT is about 14% less than the historic peak .","[0.9221057295799255, 0.04850178584456444, 0.029392436146736145]",positive,0.87360394
1,Summary,FPT,"a shareholder commented on raising the profitability of shareholders (TSR) in the formula to calculate the ESOP ratio from 10% to 15% . since the beginning of the year, the market price of FPT has decreased by nearly 24%, the corresponding capitalization is more than 170,000 billion .","[0.025094540789723396, 0.9157993793487549, 0.059106092900037766]",negative,-0.8907048
2,Summary,FPT,s kin ghi nhn s lng c ông tham d tang t bin so vi mt nam trc vi 2.020 c ông tham d . ây là lng c ông tham d ông nht,"[0.03556092455983162, 0.0328967422246933, 0.9315422773361206]",neutral,0.002664182
3,Summary,FPT,"2025 is a difficult year and unimaginable opportunities . FPT submitted to shareholders in 2025 business plans . the goal is revenue reaching 75,400 billion dong and profit before tax 13,395 billion dong .","[0.11377483606338501, 0.02399815246462822, 0.8622269630432129]",neutral,0.08977668
4,Summary,FPT,"t chc i hi ng c ông thng niên nam 2025 . li nhun sau thu nam 2024 t 9.420 t ng, tang 21% so vi cùng k 2023 .","[0.06586446613073349, 0.024679195135831833, 0.9094563722610474]",neutral,0.04118527
5,Summary,FPT,FPTC Corporation organized the annual general meeting of the 2025 Annual Shareholders . the congress recorded the number of shareholders participating in a sudden increase . this is the largest number of shareholders participating in FPT .,"[0.08595672994852066, 0.025677228346467018, 0.8883660435676575]",neutral,0.060279503
6,Summary,FPT,"the handshake between FPT and Chelsea is not the first time the ""giants"" of Vietnam have cooperated with the leading football clubs in Europe . the agreement is expected to help Chelsea's fans enhance the digital experience and achieve outstanding effects in operation and decision making .","[0.8853883743286133, 0.007724597118794918, 0.10688699781894684]",positive,0.8776638
7,Summary,FPT,"this year, FPT plans to do business with the goal of revenue reaching 75,400 billion . profit before tax 13,395 billion will increase by 20% and 21% compared to 2024 . FPT is expected to dividend in 2025 with the rate of 20% in cash, equivalent to 2024 .","[0.9054163098335266, 0.008172043599188328, 0.08641166239976883]",positive,0.8972443
8,Summary,FPT,"on the afternoon of April 9, Hai Phong City and FPT Group signed a cooperation agreement . agreement aims to promote digital transformation in the area, develop science and technology . also aims to train high quality human resources in Hai Phong city to 2030 .","[0.8939151763916016, 0.008143167942762375, 0.09794170409440994]",positive,0.885772
9,Summary,FPT,the world's leading football club has just announced the establishment of a global cooperation with FPT corporation . this cooperation is expected to help Chelsea's fans enhance the digital experience . the creative power of technology will bring new inspiration to the fans of this club .,"[0.6311567425727844, 0.009994185529649258, 0.35884907841682434]",positive,0.62116253
10,Summary,FPT,"in 2024, Vietnam's export turnover reached US $ 405.5 billion, up 14.3% compared to 2023 . in the first 3 months of 2025, Vietnam's export turnover continued to report the good news when reaching nearly 103 billion USD . on April 2, 2025, the US President announced the tariff plan, including the basic tax rate of 10% and the reciprocal tax rate applicable to each specific trading partner .","[0.40297049283981323, 0.014333267696201801, 0.582696259021759]",neutral,0.3886372
11,Summary,FPT,"the total revenue reached 62,849 billion, up 19.4% over the same period . profit after tax reached VND 9,271 billion, increased by 19.1% compared to 2023 . in 2024, foreign investors sold FPT's strong hands from 5-6/2024 .","[0.952387273311615, 0.018147045746445656, 0.029465649276971817]",positive,0.9342402
12,Summary,FPT,"the stock market from the beginning of 2025 has many signals flourishing . the index has recorded an increase of about 4% from the beginning of the year . on April 21, VnDiamond will restructure the portfolio for the 2nd quarter of 2025 .","[0.4347327947616577, 0.013309459201991558, 0.5519577860832214]",neutral,0.42142335
13,Summary,FPT,"Vietnam Holding - Foreign Fund specializing in investing in high growth companies in Vietnam recently published a February activity report with negative efficiency 2.2% while the VN -Index increased by 3.2% . at the end of February, Vietnam Holding's management assets reached nearly 123 million USD (3,000 billion VND)","[0.6865659356117249, 0.043491024523973465, 0.2699429988861084]",positive,0.6430749
14,Summary,FPT,"Trung tâm R&D v công ngh cao và chip bán dn ti Khu công viên phn mm s 2, TP . trung tâm công ngh hin i vi v tr hng mnh ra ca bi","[0.05343808978796005, 0.02598792128264904, 0.9205740690231323]",neutral,0.027450169
15,Summary,FPT,"most of the largest open funds in the market recorded the performance far behind the increase of VN-Index from the beginning of the year . at the end of February 2025, FPT even accounted for the largest proportion at some open funds .","[0.8085422515869141, 0.07486449927091599, 0.11659315973520279]",positive,0.73367774
16,Summary,FPT,"a series of tech stocks around the globe are unfavorable direction . the hex25 index reached the peak of technology fever on march 6, 2000 . with Nasdaq, the peak index of technology fever on march 10, 2000 and ""evaporate"" 78% in the next 31 months.","[0.023334605619311333, 0.8927912712097168, 0.08387406170368195]",negative,-0.86945665
